enp71s0
check whether worker is init
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------  
                                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                    Input Shapes  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------  
                          cudaGetDeviceProperties        75.56%       3.370ms        75.56%       3.370ms     421.250us             8                              []  
                               cudaGetDeviceCount        15.94%     711.000us        15.94%     711.000us     355.500us             2                              []  
                                       aten::set_         1.26%      56.000us         1.26%      56.000us      56.000us             1                        [[], []]  
                                         aten::gt         1.14%      51.000us         1.14%      51.000us      25.500us             2                      [[1], [1]]  
                                     aten::select         1.08%      48.000us         1.26%      56.000us      18.667us             3                   [[3], [], []]  
                                      aten::empty         1.05%      47.000us         1.05%      47.000us       7.833us             6        [[], [], [], [], [], []]  
                                      aten::zeros         0.78%      35.000us         1.28%      57.000us      28.500us             2            [[], [], [], [], []]  
                                  aten::unsqueeze         0.74%      33.000us         0.81%      36.000us      12.000us             3                        [[], []]  
                                       aten::item         0.67%      30.000us         0.85%      38.000us       6.333us             6                           [[1]]  
                                      aten::slice         0.61%      27.000us         0.70%      31.000us      10.333us             3          [[87], [], [], [], []]  
                                 aten::is_nonzero         0.22%      10.000us         0.58%      26.000us      13.000us             2                           [[1]]  
                                 aten::as_strided         0.18%       8.000us         0.18%       8.000us       2.667us             3               [[3], [], [], []]  
                        aten::_local_scalar_dense         0.18%       8.000us         0.18%       8.000us       1.333us             6                           [[1]]  
                                    aten::resize_         0.18%       8.000us         0.18%       8.000us       8.000us             1                  [[29], [], []]  
                                      aten::zero_         0.11%       5.000us         0.11%       5.000us       5.000us             1                           [[3]]  
                                 aten::as_strided         0.09%       4.000us         0.09%       4.000us       1.333us             3              [[87], [], [], []]  
                                 aten::as_strided         0.07%       3.000us         0.07%       3.000us       1.000us             3                [[], [], [], []]  
                                         aten::to         0.04%       2.000us         0.04%       2.000us       2.000us             1       [[1], [], [], [], [], []]  
                                         aten::to         0.04%       2.000us         0.04%       2.000us       0.667us             3      [[29], [], [], [], [], []]  
                                      aten::zero_         0.04%       2.000us         0.04%       2.000us       2.000us             1                           [[1]]  
                                  gloo:all_gather         0.00%       0.000us             0      43.538ms      43.538ms             1                           [[1]]  
                                  gloo:all_gather         0.00%       0.000us             0      19.752ms      19.752ms             1                          [[29]]  
    rpc_sync#_gather_to_leader(worker1 -> master)         0.00%       0.000us             0      40.192ms      40.192ms             1                              []  
                                     gloo:barrier         0.00%       0.000us             0     550.000us     550.000us             1                              []  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------  
Self CPU time total: 4.460ms

